#
# woTld one:
#
# see field.gif
#
#	name	x	y	length	speed
#
	T01	1 	1	1500		17
	T02 	2 	1 	1550		17
	T03 	3 	1 	1850		20
	T04 	4 	1 	1450		20
	T05 	5 	1 	180		12
	T06 	6 	1 	110		11
	T07 	7 	1 	1950		18
	T08 	8 	1 	120		11
	T09 	9 	1 	109		12
	T10 	10 	1 	1850		19
	T11 	11 	1 	210		11
	T12 	12 	1 	1950		20
	T13 	13 	1 	1950		20
	T14 	14 	1 	1950		20
	T15 	15 	1 	104		12
	T16 	16 	1 	1850		20
	T17 	17 	1 	1850		20
	T18 	7 	0 	1850		20
	T19 	10 	2 	1850		20
	T20 	4 	0 	1950		20
	T21 	5 	2 	1850		20
	T22 	16 	0 	1850		20
	T23 	17 	0 	1850		20
	T24 	16 	2 	1850		20
	T25 	18 	1 	1950		20
	T26 	19 	1 	1950		20
	T27 	4 	2 	1850		20
	T28 	3 	2 	1950		20
